anime_id,name,english_name,score,genres,type,episodes,premiered,producers,studios,source,duration,rating,rank,popularity,favorites,scored_by,members
35183,Gurazeni,Gurazeni: Money Pitch,6.39,Sports,TV,12,spring 2018,"Kodansha, Ai Addiction, SKY PerfecTV!",Studio Deen,Manga,23 min per ep,PG-13 - Teens 13 or older,7738,6207,15,5110,12248
31866,Last Exile: Ginyoku no Fam Movie - Over the Wishes,"Last Exile: Fam, the Silver Wing - Over the Wishes",6.39,"Action, Adventure, Sci-Fi",Movie,1,,,Gonzo,Original,1 hr 59 min,PG-13 - Teens 13 or older,7750,8911,4,723,5026
31156,"Kuusen Madoushi Kouhosei no Kyoukan: Lecty no, Ikimonogatari",Sky Wizards Academy OVA,6.39,"Action, Drama, Fantasy",OVA,1,,,Diomedéa,Light novel,23 min,PG-13 - Teens 13 or older,7746,4628,16,10860,25619
50804,Inkou Kyoushi no Sai* Seikatsu Shidouroku,,6.39,Hentai,OVA,2,,"Lune-Pictures, Antechinus",T-Rex,Manga,16 min per ep,Rx - Hentai,,8943,23,1977,4981
36784,Hataraku Oniisan!,Working Buddies!,6.39,Comedy,TV,12,winter 2018,"Lantis, Movic, Half H.P Studio, BS Fuji, Tokyo MX, Good Smile Company",Tomovies,Original,4 min per ep,G - All Ages,7739,7070,22,3522,8954
37046,Drifters (OVA): Kokuou-sama Goranshin,,6.39,Comedy,Special,1,,,Hoods Entertainment,Manga,2 min,PG-13 - Teens 13 or older,7733,7415,4,2124,7883
37531,Suicide Ballad,The Ballad of Suicide,6.39,"Drama, Supernatural",Music,1,,,,Music,4 min,PG-13 - Teens 13 or older,,15589,1,364,687
50156,Himitsu no Kichi,,6.39,Hentai,OVA,2,,"Queen Bee, Mediabank",Blue bread,Manga,20 min per ep,Rx - Hentai,,8902,14,1803,5042
35116,Warau Salesman Dai SP-banashi,,6.39,"Comedy, Drama, Supernatural",Special,8,,,Shin-Ei Animation,Manga,30 min per ep,PG-13 - Teens 13 or older,7775,14795,0,222,860
34799,PriPri Chii-chan!!,PriPri Chi-chan!!,6.39,"Comedy, Sci-Fi",TV,36,spring 2017,,OLM,Manga,12 min per ep,G - All Ages,7763,9651,11,1314,3950
34208,Escha Chron,,6.39,"Sci-Fi, Slice of Life",ONA,2,,"DIVE II Entertainment, Avex Pictures",Lerche,Other,24 min per ep,PG-13 - Teens 13 or older,7734,7316,7,2299,8237
31673,Larva 2nd Season,,6.39,Comedy,TV,52,winter 2013,TUBA,,Original,4 min per ep,G - All Ages,7748,12287,3,993,1754
41178,Juntoumei Shounen,Semi-Transparent Boy,6.39,,Music,1,,,Minakata Laboratory,Original,4 min,G - All Ages,,15867,1,348,644
41421,Kyouryuu Shoujo Gauko 2nd Season,Dino Girl Gauko Season 2,6.39,Comedy,ONA,19,,,Ascension,Original,9 min per ep,G - All Ages,7747,13662,2,616,1173
41768,Yakou,Night Journey,6.39,,Music,1,,,Studio Colorido,Original,3 min,G - All Ages,,14966,0,449,820
38610,Tejina-senpai,Magical Sempai,6.39,"Comedy, Romance, Ecchi",TV,12,summer 2019,"Nihon Ad Systems, Kodansha, KlockWorx, flying DOG, Avex Pictures, Q-Tec, Docomo Anime Store, GYAO!, BS NTV, Marui Group",LIDENFILMS,Manga,12 min per ep,PG-13 - Teens 13 or older,7769,901,481,133423,288291
42319,Mei Chuxi de Yinyangshi Yijia 2,,6.39,"Comedy, Supernatural",ONA,12,,,Green Monster Team,Web manga,5 min per ep,PG-13 - Teens 13 or older,7755,13858,2,156,1106
28207,Ketsuekigata-kun! 2,,6.39,Comedy,TV,12,winter 2015,Earth Star Entertainment,"feel., Assez Finaud Fabric",Web manga,2 min per ep,PG-13 - Teens 13 or older,7742,8688,5,2651,5387
2367,Moetan,,6.39,"Comedy, Ecchi",TV,12,summer 2007,Lantis,Actas,Other,24 min per ep,R+ - Mild Nudity,7755,4303,85,10412,30011
25661,Mikan Enikki Specials,,6.39,"Fantasy, Slice of Life",Special,2,,,Nippon Animation,Manga,18 min per ep,G - All Ages,7756,16089,0,190,611
7083,Hakushaku to Yousei Specials,,6.39,"Adventure, Supernatural",Special,6,,,Artland,Light novel,2 min per ep,PG-13 - Teens 13 or older,7739,6978,8,2912,9253
6368,Legend of Regios,Legend of Regios,6.39,,Special,3,,,Zexcs,Light novel,8 min per ep,R - 17+ (violence & profanity),7751,6516,9,2899,10901
6130,Marie & Gali,,6.39,Comedy,TV,40,spring 2009,NHK,Toei Animation,Original,5 min per ep,PG-13 - Teens 13 or older,7754,8652,11,1480,5445
23309,Rail Wars!,Rail Wars!,6.39,"Action, Ecchi",TV,12,summer 2014,"Lantis, Pony Canyon, TBS",Passione,Light novel,24 min per ep,PG-13 - Teens 13 or older,7766,1192,288,94958,217488
5908,Chinpui,,6.39,Comedy,TV,56,winter 1989,"TV Asahi, Asatsu DK",Shin-Ei Animation,Manga,25 min per ep,G - All Ages,7730,11535,6,1169,2230
5849,Zettai Karen Children: Oobanburumai! Natsuko to Hotaru no B.A.B.E.L. Tsuushin,Absolutely Lovely Children Recap,6.39,"Action, Comedy",TV Special,1,,,SynergySP,Manga,24 min,PG-13 - Teens 13 or older,7777,10452,0,870,3078
5819,Tori no Uta,Bird's Song,6.39,Fantasy,OVA,1,,,Toei Animation,Original,34 min,PG-13 - Teens 13 or older,7774,8316,13,1869,5955
1746,Zoids Fuzors,Zoids Fuzors,6.39,"Action, Adventure, Sci-Fi",TV,26,fall 2004,Shogakukan Productions,Tokyo Kids,Unknown,25 min per ep,PG-13 - Teens 13 or older,7778,6323,17,5214,11662
5742,Space Cobra Pilot,,6.39,"Action, Adventure, Sci-Fi",Special,1,,,Tokyo Movie Shinsha,Manga,23 min,PG-13 - Teens 13 or older,7768,10780,1,1135,2793
30757,Monster Strike,Monster Strike,6.39,"Action, Fantasy",ONA,51,,"Ultra Super Pictures, XFLAG",Studio Hibari,Game,8 min per ep,PG-13 - Teens 13 or older,7758,4631,33,6481,25567
4760,Kanokon Specials,,6.39,Ecchi,Special,12,,,Xebec,Light novel,2 min per ep,R+ - Mild Nudity,7743,4062,27,15075,33980
3488,Genji Monogatari,,6.39,"Drama, Romance",Movie,1,,TV Asahi,Group TAC,Novel,1 hr 46 min,R+ - Mild Nudity,7735,6200,47,3022,12279
817,Tactical Roar,,6.39,"Comedy, Romance, Sci-Fi",TV,13,winter 2006,"Bandai Visual, Lantis",Actas,Original,25 min per ep,PG-13 - Teens 13 or older,7768,6474,11,4041,11026
48842,Mahoutsukai Reimeiki,The Dawn of the Witch,6.39,"Action, Adventure, Comedy, Fantasy",TV,12,spring 2022,"TBS, Kodansha, NBCUniversal Entertainment Japan, BS11, Nichion, NichiNare, DMM pictures, Bit grooove promotion",Tezuka Productions,Light novel,24 min per ep,PG-13 - Teens 13 or older,7751,1467,758,58075,171733
2710,Nintama Rantarou Movie,,6.39,Comedy,Movie,1,,,Ajia-do,Unknown,46 min,G - All Ages,7758,14920,2,254,825
49392,"Ore, Tsushima (ONA)","I, Tsushima",6.39,Comedy,ONA,93,,"Asmik Ace, Bit grooove promotion",AQUA ARIS,Original,1 min per ep,PG-13 - Teens 13 or older,7762,10225,8,1474,3284
677,Sentimental Journey,,6.39,"Drama, Romance",TV,12,spring 1998,,Sunrise,Visual novel,24 min per ep,PG-13 - Teens 13 or older,7767,8967,6,1576,4939
2564,Code-E,,6.39,"Comedy, Romance, Sci-Fi",TV,12,summer 2007,Nagoya Broadcasting Network,Studio Deen,Original,24 min per ep,G - All Ages,7731,5227,19,7976,19167
2319,Freedom Previsited,,6.39,"Action, Adventure, Sci-Fi",OVA,1,,Bandai Visual,Sunrise,Original,6 min,PG-13 - Teens 13 or older,7736,9980,0,1487,3549
50006,Mabushii DNA dake,,6.39,,Music,1,,,,Original,3 min,G - All Ages,,17571,1,241,451
2085,NG Knight Ramune & 40 EX: Biku Biku Triangle Ai no Arashi Daisakusen,,6.39,"Adventure, Comedy, Fantasy",OVA,3,,,Ashi Productions,Original,30 min per ep,PG-13 - Teens 13 or older,7757,12298,2,634,1750
4459,Ojarumaru,Prince Mackaroo,6.39,"Adventure, Award Winning, Comedy, Fantasy",TV,,fall 1998,NHK,Gallop,Original,10 min,G - All Ages,7761,11546,5,553,2222
10739,Panty & Stocking in Sanitarybox,,6.39,"Action, Avant Garde, Comedy, Supernatural, Ecchi",Special,1,,,Gainax,Original,8 min,R - 17+ (violence & profanity),7762,3662,61,21868,41877
10547,Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,,6.39,"Drama, Fantasy, Romance, Ecchi",OVA,1,,,Nomad,Visual novel,24 min,R+ - Mild Nudity,7763,5912,4,5869,13892
10324,Tono to Issho: Gantai no Yabou,,6.39,Comedy,TV,12,spring 2011,Frontier Works,Gathering,4-koma manga,3 min per ep,PG-13 - Teens 13 or older,7773,10198,1,1103,3318
9905,Captain (TV),,6.39,Sports,TV,26,winter 1983,,Eiken,Manga,24 min per ep,G - All Ages,7729,13386,4,510,1258
48776,Build Divide: Code Black,Build-Divide -#000000- Code Black,6.39,Fantasy,TV,12,fall 2021,Aniplex,LIDENFILMS,Mixed media,23 min per ep,PG-13 - Teens 13 or older,7728,3025,317,15888,59498
59596,One Piece: Araburu Henkaku no Log: Anyaku Suru Kakumeigun!,One Piece: The Log of the Turbulent Revolution - The Revolutionary Army Maneuvers in Secret!,6.38,"Action, Adventure, Comedy, Fantasy",TV Special,1,,,Toei Animation,Manga,23 min,PG-13 - Teens 13 or older,7837,11751,0,972,2089
57229,Artiswitch: Ruru's Episodes of Memories,,6.38,"Slice of Life, Supernatural",ONA,2,,Bandai Namco Filmworks,Sunrise,Original,3 min per ep,PG-13 - Teens 13 or older,7799,14518,4,304,928
57099,Na Nare Hana Nare,Narenare -Cheer for You!-,6.38,Drama,TV,12,summer 2024,"TV Tokyo, DMM.com, NetEase, AmiAmi",P.A. Works,Original,23 min per ep,PG-13 - Teens 13 or older,7834,4263,74,8963,30522
55187,Never Fear,Never Fear,6.38,,Music,1,,,,Original,3 min,G - All Ages,,17219,1,250,482
